name_nm,status_ky,last_upd_src_sys_ky,error_flag_in,participant_no,change_ind,date_of_birth,date_of_death,channelset_ky,talent_type_ky,preferred_flag,isni,language_ky
Gustav Leonhardt,R,1,,5874,1.0,1928-05-30 00:00:00,2012-01-16 00:00:00,,1.0,Y,,21.0
Waldo Madera,R,1,,81262,1.0,,,,1.0,N,,21.0
Scott Meeder,R,1,,163643,1.0,,,,1.0,N,,21.0
Keith Naftaly,R,1,,163660,1.0,,,,1.0,N,,21.0
Rhymefest feat. Mikkey and Bump J,R,1,,770509,1.0,,,,16.0,N,,21.0
Mick Jones,R,1,,47741,1.0,,,,1.0,Y,,21.0
Blake Slatkin,R,1,,1709625,1.0,,,,1.0,N,,21.0
will.i.am,R,1,,354055,1.0,,,,1.0,N,,21.0
J. Boyce,R,1,,618537,1.0,,,,1.0,N,,21.0
Antonio Ávila,R,1,,982930,1.0,,,,1.0,N,,21.0
Kandi Burruss,R,1,,99754,1.0,,,,1.0,N,,21.0
José Alfredo Jiménez,R,1,,153692,1.0,1926-01-19 00:00:00,1973-11-23 00:00:00,,1.0,Y,,21.0
Lauren Christy,R,1,,222650,1.0,1967-11-19 00:00:00,,,1.0,Y,,21.0
Juan Vicente Zambrano,R,1,,204386,1.0,,,,1.0,N,,21.0
Mike Demus,R,1,,200761,1.0,,,,1.0,N,,21.0
Joe Strummer,R,1,,114142,1.0,,,,1.0,N,,21.0
Michael Thompson,R,1,,131436,1.0,1954-02-11 00:00:00,,,1.0,N,,21.0
Michael Snoddy,R,1,,754896,1.0,,,,1.0,N,,21.0
KayGee,R,1,,144898,1.0,,,,1.0,N,,21.0
Phillip Ratliff,R,1,,341488,1.0,,,,1.0,N,,21.0
Tyrone Dickerson,R,1,,312606,1.0,,,,1.0,N,,21.0
Oto Klempír,R,1,,605090,1.0,,,,1.0,Y,,21.0
Ron Dziubla,R,1,,981251,1.0,,,,1.0,N,,21.0
"Televisa, S.A. de C.V.",R,1,,1082610,1.0,,,,1.0,N,,21.0
Mac Quayle,R,1,,144844,1.0,,,,1.0,N,,21.0
José Eduardo Piña,R,1,,597217,1.0,,,,1.0,N,,21.0
Rob Harper,R,1,,1124771,1.0,,,,1.0,N,,21.0
"Alfonso Cleveland, II",R,1,,341491,1.0,,,,1.0,N,,21.0
Jose Vega,R,1,,932183,1.0,,,,1.0,N,,21.0
Bady,R,1,,341490,1.0,,,,1.0,N,,21.0
Unknown,R,1,,39823,1.0,,,,1.0,Y,,21.0
Andre Evans,R,1,,144846,1.0,,,,1.0,N,,21.0
The Christian Fellowship Choir,R,1,,1383066,1.0,,,,1.0,N,,21.0
Heinrich Scheidemann,R,1,,102486,1.0,,1663-01-01 00:00:00,,1.0,N,,21.0
Akema Johnson,R,1,,166937,1.0,,,,1.0,N,,21.0
Pete Howard,R,1,,797197,1.0,,,,1.0,N,,21.0
George Pajon Jr.,R,1,,341810,1.0,,,,1.0,N,,21.0
Gustavo Borner,R,1,,153908,1.0,,,,1.0,N,,21.0
Rubén Fuentes,R,1,,122048,1.0,,,,1.0,N,,21.0
Christopher Stern,R,1,,128572,1.0,,,,1.0,N,,21.0
Adam Kudzin,R,1,,159700,1.0,,,,1.0,N,,21.0
Jackie Méndez,R,1,,981250,1.0,,,,1.0,N,,21.0
Tyrone Dickerson and The Christian Fellowship Choir,R,1,,339394,1.0,,,,16.0,N,,21.0
Johann Kaspar Kerll,R,1,,50079,1.0,,,,1.0,N,,21.0
