name_nm,perf_artist_tx,duration_no,isrc_number_tx,perf_pline_tx,status_ky,last_upd_src_sys_ky,explicit_lyrics_in,rep_owner_ky,taken_from_isrc_id,track_media_ky,track_type_ky,updated_flag_in,track_ext,raas_track_no,track_no,error_flag_in,track_subtype_ky,set_complete_in,c_line,grid_id,related_audio_isrc,live_indicator,rep_owner_parent_ky,raas_init_dt,set_complete_dt,language_ky,confidential_flag,related_audio_isrc_reviewed_in,cline_for_lyrics,audio_encoding_ky,video_encoding_ky,orig_release_date,orig_rel_date_override
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,L1419535520050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,M1354242520050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,O1419572020050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,P1419422620050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Q1059221220050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Q1419388920050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,R0512387020050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,T1419431420050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,T1419467220050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,V1051284120050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,W1419495220050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,W1419559020050327,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Y1009261520050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Y2055519820050509,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Z1051292920050628,,0,,,,,,0,,,0,,,,0.0,,,
<Init_Project_Relations_Kys(Project/Performance Dummy)>,,0,,,D,1,,0,,0,0,,  ,,Z1419502920050327,,0,,,,,,0,,,0,,,,0.0,,,
